,features,label
334,you ugli mind botox kilo foundat makeup hide inher ugli grotesqu cast bone how obtus #arrestmunmundu bulau जेठ लाल 😂😂,NONE
2420,wtf nonsens go countri cm can't differenciet between person cultur law some might object rip jean gf bf relationship no late night parti but can't inforc indian make foolish law pollut control child whi pm silent alway sagar pm silent instig,HOF
2418,wtf nonsens go countri cm can't differenciet between person cultur law some might object rip jean gf bf relationship no late night parti but can't inforc indian make foolish law pollut control child whi pm silent alway sagar bhai punctur thik karwal apn,HOF
833,ration countri lakh activ patient india r current get treat modern scienc medicin i see peopl r tri thing think altern medicin most india ration u want give attent peopl yes peopl minist democrat elect repres popul these peopl hold administr power lakh peopl combin if think health minist advertis coronil man moron,HOF
5479,oxygen requir today sc hear matter next week citizen tv anchor bail hear arnab hota hear abhi ho jaati pleas ask arnab ask suprem court uski wahaan par bahut chalti hai,NONE
4377,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। mana hani huwa uska kya sab media aap ko saudagar bole uska kya,HOF
4644,look insensit piec shit ♂ fuck by ranu mondal😂😂😂,HOF
3165,doctor aur scientist se manga hai chuti se nahi baith nich pooja in year modi cri time 😭 #crocodiletearsmodi,NONE
1912,pleas identifi admonish bigot bigotri deserv love forgiv it deserv utmost honesti fearless if oppos bigot tomorrow becom cm put jail wors voic freedom mind don't kind evil siddharth you said 💯 right sir but peopl like type peopl and one health minist sit with whol gang bengal silenc and everyon know organ riot siddharth sir kind give feedback short film made covid awar,NONE
731,proud hindu we proud nathuram godse🙏 #नाथूराम गोडस अमर रह nathuram gods legend true indian,HOF
291,chandrasekhar ravan prais rss now leftist toolkit gang say # मई भीमआर्म क्रांतिदिवस #आपद धर्म परिवर्तन खेल #नील बकलोल दिवस kaka jumman miya k ek masiha ne apna chehra dikha diya,HOF
184,watch video randeep hooda make dirti joke nation leader mayavati dalit woman voic oppress no toler castiest peopl arrest #arresterandeephood abey castism kaha se le ate ho dalit woman make hundr statu also illiter believ make statu us develop,HOF
4382,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। लोग नह केवल बीजेप कांग्रेस के लोग आपक हर काम टांग खैच । वैस देशक बीजेप कांग्रेस ज़रूरत नह जल्द देश बात मेहसूस कर,HOF
1867,भारत रेलव के ऑक्सीजन एक्सप्रेस अभिय वीं रेल यात्र पूर ली है। रेलगाड़ मीट्रिक टन ऑक्सीजन गतिम हैं। देश भर अधिक टैंकर के माध्यम मीट्रिक टन मेडिकल ऑक्सीजन पहुंच है। #indiafightscorona chal jhute #doctoredpatra,HOF
3830,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm telecast without consent also kejriw right stop,NONE
533,proud son bharat retweet maximum repeat #नाथूराम गोडस अमर रह british ki dalal nathurani ko ❤ da naman🙏🙏 #नाथूराम गोडस अमर रह,HOF
2760,just realis #twitterban news made mani #tukdetukd gang becom pro modi sudden worri abt wellb concern also want suffer repercuss such love modi unseen आपक दुक i wish u could understand english like could read write #andhbhakt,HOF
3691,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm ma'am i would like host debat pleas consid 🙏🏻 both might discuss design sare,NONE
1803,ok liber anti hindu namesak liber actual fanat intoler hindu phobic anti democrat,HOF
2902,countri twitter ban china north korea iran it requir special categori neechta put india leagu twitter band hone minut baaki,NONE
657,स्वामीनारायण संप्रदाय bap के अमेरिक बन मंदिर दल मज़दूर ग़ुलाम कर के केस जाँच fbi स्थाप भग नह यूप जन्म घनश्याम पांड थी। sc st obc संस्थ प्रमुख नह बन सकता। चंद श्रम दान हैं। भग धोख मानव भेदभ जातिवाद रिवाज प्रकृ सब पैद नह कोर भग धर्म संस्कृ पंड सब झूठ साब अंधविश्वास नतीज इसस जनकल्याण सम्भव नह लोग शिक्ष रोज संविध जोर नह दे,HOF
2348,wtf nonsens go countri bring law hindu prime minist lie hindu janta hindustan bring law tht god sake fool,HOF
2893,countri twitter ban china north korea iran it requir special categori neechta put india leagu your bjp,HOF
5206,public fight covid pm fight elect peopl either vote foolish win elect malpractic,HOF
4938,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist destroy imag modi do u think someon tri destroy 😂😂 all imag fake amp real come the world know real imag modi thank rahul gandhi he respons revel 🙏 rahul becom irrelev day day if continu destruct polici day far away rahul well congress loos relev indian polit,NONE
898,लो कह आसाराम बाप जेल निकाल भोल मासूम 😂 aakhir apni aukat dikha hi di,HOF
428,the us govt help privat funder like direct fund state run popul control program india hundr thousand men women steril includ mani tribal lower cast women #arrestbillg to sahi popul control crore ho gay,NONE
3824,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm talk remain bedroom kid know one understand protocol work us right didnt teach record anyth need take permiss person xlnc tumbler parti never understand protocol dada,HOF
1669,भाज के ने गाँव क्यूँ नह कोरों भय स्वागत डर बार कह भड़वाचार्य घट सामग्र है।,NONE
3576,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm the joke the joke peopl elect ironi elect 😂😂😂 and divid countri islimist secular islimist seculiar india voic mf,HOF
3774,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm madam pleas focus wb leav delhi alon one kejriw enough us,NONE
1222,charli hebdo publish do stand franc saar chaddi trigger ho gay hain repli 😂 we b head falana dhimkana support free speech kitn bhole bant hain yeh khudk baar inko kuchh bhi pata nahi hai 😂 love someon anti musl hate anti h ndu it meant trigger jlhigh moral ground le rhe bc abhi khud ke account se tweet nahi hoga,HOF
4742,look insensit piec shit 😂😂😂😂,HOF
2080,दिन देख बाक़ रह tv डिबेट गल शब्द प्रयोग जाएग बस माँ बहन गाल हाई बाक़ रह गय संस् rock star 👍,NONE
4561,look insensit piec shit सटीक जवाब बाब रामदेव 👇👇👇,NONE
1545,stop predict dear bot if gut debat real bot pakistan alway spread hate hindus indian armi prove wrong money monger,HOF
3096,doctor aur scientist se manga hai chuti se nahi baith nich pooja,NONE
1756,ok liber anti hindu of cours,HOF
5709,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon get well soon sudhir ji 🙏,NONE
2792,just realis #twitterban news made mani #tukdetukd gang becom pro modi sudden worri abt wellb concern also want suffer repercuss such love modi unseen आपक दुक #bantwitterinindia #bantwitt nation first no compromis,NONE
1438,stop predict dear bot be moder start make joke peopl take serious,NONE
4918,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist don't comment eid call super spreader kumbh congress toolkit expos parti sinist plot fight pm #congresstoolkit via action pls surviv amp up elect etc total depend emerg action taken wb violenc corrupt matter etc #covidsitu #wb dent imag bjp modi ji like never show spine els look like bjp surrend,NONE
1520,stop predict dear bot is human bhakt gobar bhakt 😂😂,HOF
5184,public fight covid pm fight elect public fight covid fight pm congress are u fuck blind mamata wb who go around delhi fight elect instead plan fight pandem nation,HOF
4077,india need vaccin yes especi protect peopl hate peopl cultur wish break democraci use democraci but gonna happen no caliph india amp develop indigen vaccin win ill covid amp breaker,NONE
1569,supriya shrinat call sambit patra naali ka keeda even keeda ethic #naali ka keeda,HOF
2119,दिन देख बाक़ रह tv डिबेट गल शब्द प्रयोग जाएग बस माँ बहन गाल हाई बाक़ रह गय संस् संस नह बिमार,NONE
1782,ok liber anti hindu you'r anti hindu non liber evid maang lo bas flood hon jaayega flood,HOF
4149,india need vaccin pai sorri all get fake tear pai i get rice bag don worri,NONE
3833,who rana ayyub a scamster amp alleg journalist scam intern fake fund raiser,HOF
2916,twitter urg indian govern respect freedom express let ask guy twitter freedom,NONE
2879,twitter new east india compani pretend defend us nativ elect govt sell us largest bidder it law it decid law follow defi amp law made in short twitter decid india ru and spineless govern someth india suffer,HOF
1817,ok liber anti hindu liber never ask state citizenship hindus left pakistan partit done nehru what tragedi hindus indian citizen state citizen shame fake liber,NONE
1126,no hindu still go attack charli hebdo pun fool like izlam bigot no one may love us hindutva love vajpai will hindu say i stand charli hebdo like jab himmat nahi hoti tab love ke paath yaad aat hai,HOF
1513,stop predict dear bot mam chang bot respons need feed differ input seem post predict henc bot respons regard,HOF
1514,stop predict dear bot she repli fake account,HOF
3837,who rana ayyub a scamster amp alleg journalist scam intern fake fund raiser she bio lol 😆,HOF
70,amplifi support retweet no casteist misogynist shit name stand up comedi show #arrest abish math gaand jali iski kyu ab kaha gya freedom speech,HOF
1593,supriya shrinat call sambit patra naali ka keeda even keeda ethic i think snake also got angri,HOF
2543,israel murdabad #indiastandswithpal inc इंश अल्लाह इजराइल नाम निश मिट देग thewitch inc 😂,HOF
3710,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm absolut nonsens argument when cm use meet cms pm pr stunt show low level polit play ppl state the meet meant discuss record secreat amp play polit,NONE
4159,india need vaccin yes stop potray india in bad light govt alreadi given permiss compani produc covid vaccin given timelin product total crore dose prepar end calendar year govt target vaccin,NONE
4373,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। दिल्ल ऑक्सीजन प्लांट नह न दिल्ल सर के पास राज् ऑक्सीजन ला के क्रायोजेनिक टैं आपक पास इत ऑक्सीजन आ दिल्ल के अस्पताल मेंभ ऑक्सीजन कम मौ वह ऑक्सीजन आपक घर न हो अस्पताल लोग तड़प न मर,HOF
831,ration countri lakh activ patient india r current get treat modern scienc medicin i see peopl r tri thing think altern medicin most india ration u want give attent peopl peopl u kid,NONE
4585,look insensit piec shit isko kyu nahi ho raha corona run bed cylend whi normal peopl suffer,HOF
5583,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon ईश्वर आपक शीघ्र स्वस्थ काम हूँ। चौरस,NONE
2988,countri ban twitter china iran north korea turkmenistan modi ghulam bhakt want #bantwitterinindia amp make india join list whi declar india authoritarian regim drop facad democraci #istandwithtwitterind say person run social media parti hand glove china a parti support china everi issu a parti prais china everyth a parti deal china unoffici way upa govt ironi die thousand death if china cannliv without twitter cant india china power futur us uk etc countri declin,NONE
238,life brahmin easi rather difficult life common shudra least restrict indica arrian nd centuri ce this corrobor smriti place hundr restrict brahmin includ aggrav punish dixit veri true sir and fact narrat built fashion brahmin enjoy luxuri life the call hater brahmin privileg can't live singl day routin true austr life brahmin dixit actual issu brahmin it cast system still exist hinterland the aryan devis cast system work well brahmin want keep status quo,NONE
1973,दिन देख बाक़ रह tv डिबेट गल शब्द प्रयोग जाएग बस माँ बहन गाल हाई बाक़ रह गय संस् दिन बाक रह टीव गाल खा,NONE
1992,दिन देख बाक़ रह tv डिबेट गल शब्द प्रयोग जाएग बस माँ बहन गाल हाई बाक़ रह गय संस् thoda idhar bhi dhyaan sambhit bhai they fear unit kick everyon ass we,HOF
1305,भक्त के मुताबिक मोद योग देश के बाप बोल योग मोद देश के पाप है😜 swara andhbhkt bolo bhkt insan ke nhi hote god ke hote h 😡,HOF
5698,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon हजार sscgd medi fit युव आशीर्वाद जरूर सुधीर साहब। ट्वीटर दिनांक जून बज रिट्वीट जरूरत पड़ हजार परिवार दुव के लिए। आजम देख उम्मीद जल्द स्वस्थ हो हमार होंग 🙏 crpf ssc gd medic fit ko join,NONE
4726,look insensit piec shit jai ho,HOF
3159,doctor aur scientist se manga hai chuti se nahi baith nich pooja dekho didi ko pata tha ki c#utiyo se nahi manga isliy abhi tak chup baithi hai 😂😂😂,HOF
1001,this critic welcom i sure hindu go charli hebdo offic kill peopl that big differ usk liy ga guda hona chahiy gujarat mei dikha diya tha,HOF
4169,india need vaccin tujh kahan lagwana hai bol,HOF
4494,cannot stop think natasha narwal she lost father couldn't see last moment still tihar jail resist genocid bill pray polit prison may allah end pain suffer more power natasha realli 😢,NONE
2091,दिन देख बाक़ रह tv डिबेट गल शब्द प्रयोग जाएग बस माँ बहन गाल हाई बाक़ रह गय संस् कांग्रेस नेत्र कांग्रेस परम्पर बढ़,NONE
1620,supriya shrinat call sambit patra naali ka keeda even keeda ethic abus support,NONE
957,लो कह आसाराम बाप जेल निकाल भोल मासूम 😂 खास चेल right,NONE
3918,who rana ayyub a scamster amp alleg journalist scam intern fake fund raiser scum earth somehow manifest self proclaim liar,HOF
2535,israel murdabad #indiastandswithpal inc murdabaaad murdabaaad,HOF
1921,pleas identifi admonish bigot bigotri deserv love forgiv it deserv utmost honesti fearless if oppos bigot tomorrow becom cm put jail wors voic freedom mind don't kind evil siddharth you real reel life bhagat singh,NONE
411,the us govt help privat funder like direct fund state run popul control program india hundr thousand men women steril includ mani tribal lower cast women #arrestbillg ani proof,NONE
2432,#israel हव हमल जिहाद कमांडर अब हरबीद सफ अब हरबीद उत्तर गाज आतंकवाद संगठन के ऑपरेशन कमांडर था। इजरायल जिहाद वो हालत ना 😊 अगवाड़ चूँ ना पिछवाड़ पूँ ☺,HOF
5510,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon बस दिन जल्द ठीक हो वापस लौट 💐 sushant sir humn rohit sir ko kho diya agar sudheer sir ko kuchh hua brdast nhi hoga,NONE
4900,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist is imag modi import india mr patra what wit second wave modiji overconfid imag import so modi overconfid caus spread infect despit peopl exercis precaut and poor helpless state govt let happen know health state subject classic case intellectu bankruptci a typic librandus,NONE
1323,modi coward psycopath fulli agre sir his credenti vouch rana maderchod suprem court ne unh clean chit diahai behanchod salari tujh malum sahi,HOF
2795,just realis #twitterban news made mani #tukdetukd gang becom pro modi sudden worri abt wellb concern also want suffer repercuss such love modi unseen आपक दुक tu apni soch dalal teri chavanni gyi 😂,HOF
1786,ok liber anti hindu विपक्ष पार्ट मोद विरोध बात सच कह तीसर लहर दूसर खतर होग निश्च तौर तीसर लहर दूसर खतर होग दूसर सीट आई थीं तीसर पहुंच अनुम के धन्यवाद सेक्युलर,HOF
